num|neg|neu|pos|com
241|0.056|0.762|0.181|0.9956
242|0.104|0.754|0.142|0.7828
243|0.028|0.723|0.249|0.9881
244|0.09|0.707|0.203|0.9807
245|0.059|0.718|0.223|0.9802
246|0.092|0.757|0.151|0.9868
247|0.039|0.839|0.122|0.9975
248|0.0|0.761|0.239|0.91
249|0.027|0.833|0.141|0.9921
250|0.049|0.762|0.189|0.963
251|0.065|0.771|0.165|0.9953
252|0.088|0.769|0.144|0.9341
253|0.014|0.89|0.096|0.9891
254|0.0|0.759|0.241|0.968
255|0.213|0.63|0.157|-0.8921
256|0.036|0.83|0.134|0.9988
257|0.041|0.853|0.106|0.9875
258|0.078|0.775|0.147|0.976
259|0.017|0.681|0.302|0.9813
260|0.038|0.848|0.113|0.9803
261|0.01|0.706|0.284|0.9865
262|0.038|0.852|0.11|0.8532
263|0.076|0.617|0.307|0.9891
264|0.05|0.759|0.191|0.9908
265|0.186|0.702|0.112|-0.2782
266|0.063|0.783|0.154|0.9746
267|0.0|1.0|0.0|0.0
268|0.0|0.943|0.057|0.128
269|0.11|0.724|0.166|0.9761
270|0.085|0.792|0.123|0.6573
271|0.011|0.799|0.19|0.9986
272|0.021|0.786|0.193|0.9921
273|0.035|0.856|0.109|0.9501
274|0.021|0.76|0.22|0.9418
275|0.0|0.626|0.374|0.6573
276|0.039|0.961|0.0|-0.0772
277|0.0|0.9|0.1|0.4574
278|0.0|0.851|0.149|0.8397
279|0.114|0.886|0.0|-0.8176
280|0.051|0.567|0.382|0.9918
281|0.036|0.784|0.18|0.9982
282|0.12|0.672|0.207|0.9735
283|0.106|0.681|0.213|0.9364
284|0.044|0.832|0.125|0.5396
285|0.0|0.822|0.178|0.3818
286|0.0|0.89|0.11|0.7003
287|0.0|0.863|0.137|0.7003
288|0.101|0.567|0.332|0.876
289|0.0|0.696|0.304|0.9955
290|0.036|0.765|0.2|0.9994
291|0.04|0.708|0.253|0.9987
292|0.035|0.833|0.131|0.7184
293|0.0|0.684|0.316|0.9238
294|0.0|0.611|0.389|0.6249
295|0.024|0.806|0.17|0.9473
296|0.0|0.696|0.304|0.939
297|0.023|0.921|0.056|0.9277
298|0.039|0.859|0.102|0.9818
299|0.014|0.778|0.208|0.9858
300|0.059|0.895|0.046|-0.1141
301|0.009|0.864|0.127|0.9836
302|0.031|0.855|0.115|0.9911
303|0.017|0.897|0.087|0.8519
304|0.05|0.714|0.236|0.998
305|0.084|0.83|0.086|0.0608
306|0.081|0.796|0.123|0.9365
307|0.052|0.855|0.093|0.9553
308|0.0|0.785|0.215|0.9661
309|0.044|0.828|0.128|0.9957
310|0.0|0.921|0.079|0.7184
311|0.067|0.804|0.13|0.9966
312|0.064|0.795|0.141|0.9163
