id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
336,"['Grzymała, Wojciech']","['Bayern', 'Bois de Boulogne', 'London', 'Paris', 'Poland']",,"['Albert, Prince of Schleswig-Holstein-Glücksburg', 'Alboni, Marietta', 'Arago, Emmanuel', 'Broadwood, Henry Fowler', 'Chojecki, Edmund', 'Clésinger, Jean-Baptiste', 'Dudevant, Solange', 'Erskine, Katherine', 'Guizot, François', 'Gutmann, Adolf', 'Leveson-Gower, Harriet, Duchess of Sutherland', 'Lind, Jenny', 'Liszt, Ferenc', 'Mendelssohn-Bartholdy, Feliks', 'Sand, George', 'Somerset, Georgiana', 'Stirling, Jane Wilhelmina', 'Viardot, Louis', 'Viardot, Pauline', 'Victoria, Queen of Great Britain']"
340,"['Grzymała, Wojciech']","['France', 'Italia', 'Liverpool', 'Paris', 'Polska', 'Russia', 'Scotland']",,"['Broadwood, Henry Fowler', 'Cichowski, Adolf', 'Clésinger, Jean-Baptiste', 'Dudevant, Solange', 'Erskine, Katherine', 'Gutmann, Adolf', 'Leveson-Gower, Harriet, Duchess of Sutherland', 'Rozières, Marie de', 'Sand, George', 'Stirling, Jane Wilhelmina', 'Viardot, Pauline', 'Victoria, Queen of Great Britain']"
345,"['Fontana, Julian']",['London (7011781)'],,"['Hénique, Frédéric', 'Matuszyński, Jan', 'Stradivari, Antonio', 'Witwicki, Stefan', 'Wodziński, Antoni']"
348,"['Grzymała, Wojciech']","[""9, square d'Orléans"", 'Edinburgh', 'Glasgow', 'London', 'Long Loch', 'Manchester', 'Oostende', 'Pyrénées', 'Scotland']",,"['Albrecht, Thomas', 'Dudevant, Solange', 'Erskine, Katherine', 'Houston, Ann', 'Houston, Ludovic', 'Lind, Jenny', 'Léo, Auguste', 'Madame Etienne', 'Mary, Queen of Scots', 'Mickiewicz, Adam', 'Murray, Mary (Lady)', 'Ostrowski, Krystyn', 'Rich, Mary', 'Rozières, Marie de', 'Sand, George', 'Schwabe, Salis', 'Stirling, Jane Wilhelmina', 'Łyszczyński, Adam']"
351,"['Rozières, Marie de']",,,
352,"['Grzymała, Wojciech']","['Dublin (7001306)', 'Edinburgh (7009546)', 'Glasgow', 'Keir House']",,"['Alboni, Marietta', 'Delacroix, Eugène', 'Grisi, Giulia', 'Grote, Harriet', 'Lind, Jenny', 'Mario, Giovanni', 'Roger, Gustave', 'Rozières, Marie de', 'Łyszczyński, Adam']"
358,"['Rozières, Marie de']",,,
378,"['Grzymała, Wojciech']","[""9, square d'Orléans"", 'Bretagne (7024267)', 'Saint-Germain-en-Laye', 'Versailles', 'Warsaw']",,"['Cichowski, Adolf', 'Fraenkel, dr', 'Grzymała, Wincenty Władysław', 'Obreskow, Natalia (księżna)', 'Potocka, Delfina (hrabina)', 'Sapieha, Jadwiga Klementyna (księżna)', 'Zaleski, Józef Bohdan']"
379,,"['74, rue de Chaillot', ""9, square d'Orléans"", 'Paris (7008038)']",,"['Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Obreskow, Natalia (księżna)', 'Rozières, Marie de']"
387,"['Grzymała, Wojciech']",,,"['Alexis', 'Czartoryska, Anna (księżna)', 'Czartoryski, Władysław (książę)', 'Działyńska, Izabella (hrabina)', 'Erskine, Katherine', 'Jędrzejewiczowa, Ludwika', 'Madame Etienne', 'Orda, Napoleon', 'Stirling, Jane Wilhelmina', 'Wirtemberska, Maria']"
