id,name
298,To Solange Clésinger in Guillery
299,Letter from Fryderyk Chopin to Solange Clésinger
301,To Hipolit Błotnicki in Paris
302,To Auguste Franchomme in Paris
303,To Auguste Franchomme in Paris
306,Letter from Fryderyk Chopin to Ludwika Jędrzejewicz
304,Letter from Fryderyk Chopin to Solange Clésinger
308,Auguste Clésinger to Fr. Chopin in Paris
317,To Adolf Cichowski in Paris
327,To doctor Molin in Paris
312,To Marie Dorval in Paris
307,To Ludwik Piotr Norblin in Paris
309,Letter from Fryderyk Chopin to Ludwika Jędrzejewicz
310,Letter from Fryderyk Chopin to family
316,To Adolf Cichowski in Paris
311,Giacomo Meyerbeer to Fr. Chopin in Paris
315,Justyna Chopin to Fr. Chopin in Paris
313,To Solange Clésinger in Guillery
314,Auguste Clésinger to Fr. Chopin in Paris
318,To Solange Clésinger in Guillery
319,To Solange Clésinger in Guillery
320,Justyna Chopin to Fr. Chopin in Paris
321,Solange Clésinger to Fr. Chopin in Paris
322,To Solange Clésinger in Guillery
323,To Solange Clésinger in Guillery
324,Solange Clésinger to Fr. Chopin in Paris
326,Karol Gavard to Mr. Hall in London
325,To Julian Fontana in New York
328,Letter from Fryderyk Chopin to Wojciech Grzymała
329,Letter from Fryderyk Chopin to Karol Franciszek Szulczewski
330,To Auguste Franchomme in Paris
331,Ignaz Moscheles to Fr. Chopin in London
333,To Wojciech Grzymała in Paris
334,To Wojciech Grzymała in Paris
335,To an unknown recipient in Paris
336,Letter from Fryderyk Chopin to Wojciech Grzymała
337,To Solange Clésinger in Paris
338,Jane Welsh Carlyle to Jane W. Stirling in London
339,To Ignacy Krzyżanowski in London
340,Letter from Fryderyk Chopin to Wojciech Grzymała
341,To Wojciech Grzymała in Paris
342,To Camille Pleyel in Paris
347,To family in Warsaw
343,To Auguste Franchomme in Paris
344,To Camille Pleyel in Paris
345,Letter from Fryderyk Chopin to Julian Fontana
346,To Wojciech Grzymała in Paris
348,Letter from Fryderyk Chopin to Wojciech Grzymała
349,To Camille Pleyel in Paris
350,To Wojciech Grzymała in Paris
351,Letter from Fryderyk Chopin to Marie de Rozières
352,Letter from Fryderyk Chopin to Wojciech Grzymała
353,To Adolf Gutmann in Heidelberg
357,To Wojciech Grzymała in Paris
354,To Wojciech Grzymała in Paris
356,To Adam Łyszczyński in Edinburgh
358,Letter from Fryderyk Chopin to Marie de Rozières
359,To doctor Mallan in London
360,To Wojciech Grzymała in Paris
361,To doctor Mallan in London
362,To Solange Clésinger in Guillery
363,Marcelina Czartoryska to Władysław Czartoryski in Paris
364,Ferdinand Hiller to Fr. Chopin in Paris
380,To Adolf Cichowski in Paris
370,To Wojciech Grzymała in Paris
365,To Solange Clésinger in Guillery
372,To Adolf Cichowski in Paris
366,Pauline Viardot to George Sand in Nohant
